metric,label,count
evidence_set,set1_core,104
evidence_set,set2_emerging,112
evidence_set,set3_context,452
evidence_set,screened_out,1546
set1_core_contribution,attack,33
set1_core_contribution,defense,38
set1_core_contribution,evaluation,21
set1_core_contribution,general,7
set1_core_contribution,survey,5
set2_emerging_contribution,attack,35
set2_emerging_contribution,defense,55
set2_emerging_contribution,evaluation,15
set2_emerging_contribution,general,4
set2_emerging_contribution,survey,3
set3_citation_role,agentic_security_context,21
set3_citation_role,classical_foundation,4
set3_citation_role,defense_analogy,53
set3_citation_role,deployment_evidence,30
set3_citation_role,measurement_context,128
set3_citation_role,protocol_or_standard,66
set3_citation_role,related_work,145
set3_citation_role,single_agent_baseline,5
quality_control,taxonomy_ready_set1,10
quality_control,author_priority_review,100
membership_signoff,move_set3,5
membership_signoff,exclude,5
identity_adjudication,duplicate_removed,1
