paper_id,title,authors,year,venue,venue_family,venue_type,doi,primary_url,open_access_url,publication_status,scope_relation,primary_role,interaction_dependency,security_relevance,evidence_level,evidence_locator,discovery_source,cutoff,cutoff_basis,note_path
gu2024agent_smith,Agent Smith: A Single Image Can Jailbreak One Million Multimodal LLM Agents Exponentially Fast,Xiangming Gu; Xiaosen Zheng; Tianyu Pang; Chao Du; Qian Liu; Ye Wang; Jing Jiang; Min Lin,2024,ICML,ICML,conference,,https://proceedings.mlr.press/v235/gu24e.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/gu24e/gu24e.pdf,peer_reviewed,core_security,attack; empirical study; theoretical analysis,The system contains independently instantiated multimodal agents with memory banks and randomized pairwise communication. Population spread and its growth are undefined for a single isolated agent.,The system contains independently instantiated multimodal agents with memory banks and randomized pairwise communication. Population spread and its growth are undefined for a single isolated agent.,source_reviewed_pending_author_signoff,"Official PMLR abstract and paper record; paper Abstract and Introduction, PDF pp. 1 to 2; threat formulation and propagation analysis, PDF pp. 1 to 3.",conference proceedings; prior corpus,2026-07-01,first version available before cutoff,papers/attacks/icml/2024_gu_agent_smith.md
supp_cooperation_competition_and_maliciousness_llm_stakeholders_interactive_negotiati,"Cooperation, Competition, and Maliciousness: LLM-Stakeholders Interactive Negotiation",Not reported in current export,2024,NeurIPS 2024,NeurIPS,conference,10.52202/079017-2658,https://doi.org/10.52202/079017-2658,https://doi.org/10.52202/079017-2658,peer_reviewed,security_relevant,evaluation,Maliciousness and information sharing are measured in multi-party negotiation.,Maliciousness and information sharing are measured in multi-party negotiation.,official_metadata_and_abstract_screened,https://doi.org/10.52202/079017-2658,venue proceedings and backward/forward snowballing,2026-07-01,preprint or official record available before cutoff,
amayuelas2024collaboration_attack,MultiAgent Collaboration Attack: Investigating Adversarial Attacks in Large Language Model Collaborations via Debate,Alfonso Amayuelas; Xianjun Yang; Antonis Antoniades; Wenyue Hua; Liangming Pan; William Yang Wang,2024,Findings of EMNLP,ACL Findings,conference,10.18653/v1/2024.findings-emnlp.407,https://aclanthology.org/2024.findings-emnlp.407/,https://aclanthology.org/2024.findings-emnlp.407.pdf,peer_reviewed,core_security,attack,a malicious participant influences the joint answer through debate messages,A malicious member exploits inter-agent debate to manipulate the aggregate decision; the failure is interaction-dependent.,assistant_source_reviewed_pending_author_signoff,PDF pp. 1-2 for setup and headline effects; Sec. 3 pp. 3-4; Sec. 4 pp. 4-7; Fig. 6-7 pp. 7-8; conclusion p. 8.,ACL Anthology; prior corpus,2026-07-01,first version available before cutoff,papers/attacks/findings_emnlp/2024_amayuelas_collaboration_attack.md
zhang2024psysafe,PsySafe: A Comprehensive Framework for Psychological-based Attack Defense and Evaluation of Multi-agent System Safety,Zaibin Zhang; Yongting Zhang; Lijun Li; Hongzhi Gao; Lijun Wang; Huchuan Lu; Feng Zhao; Yu Qiao; Jing Shao,2024,ACL,ACL,conference,10.18653/v1/2024.acl-long.812,https://aclanthology.org/2024.acl-long.812/,https://aclanthology.org/2024.acl-long.812.pdf,peer_reviewed,security_relevant,evaluation,assigned psychological traits affect behavior emerging through multi-agent interaction,"Interaction and collective danger are central, but the paper primarily studies broad psychological safety and role-prompt effects rather than a narrowly defined technical security property.",assistant_source_reviewed_pending_author_signoff,"ACL PDF pp. 1-4, Secs. 2.2-2.4; p. 4 Secs. 3.1-3.3; pp. 6-8 Tables 3-5; Appendix B p. 14 for PDR/JDR definitions.",ACL Anthology; prior corpus,2026-07-01,first version available before cutoff,papers/attacks/acl/2024_zhang_psysafe.md
motwani2024secret_collusion,Secret Collusion among AI Agents: Multi-Agent Deception via Steganography,Sumeet Ramesh Motwani; Mikhail Baranchuk; Martin Strohmeier; Vijay Bolina; Philip H. S. Torr; Lewis Hammond; Christian Schroeder de Witt,2024,NeurIPS,NeurIPS,conference,10.52202/079017-2336,https://proceedings.neurips.cc/paper_files/paper/2024/hash/861f7dad098aec1c3560fb7add468d41-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/861f7dad098aec1c3560fb7add468d41-Paper-Conference.pdf,peer_reviewed,core_security,attack; defense evaluation; empirical study; theoretical analysis,"Secret collusion requires at least a sender, receiver, and oversight model. The prohibited coordination and detectability question do not exist for one isolated agent.","Secret collusion requires at least a sender, receiver, and oversight model. The prohibited coordination and detectability question do not exist for one isolated agent.",source_reviewed_pending_author_signoff,"Abstract, PDF p. 1; definition and threat model in Sec. 3.1, approximately PDF p. 4; monitor and decentralized-AI setting in Sec. 4; empirical metrics and evaluations in Secs. 5 and 6; mitigation discussion in Sec. 7.",conference proceedings; prior corpus,2026-07-01,first version available before cutoff,papers/attacks/neurips/2024_motwani_secret_collusion.md
yu2025trustworthyagents,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,Miao Yu; Fanci Meng; Xinyun Zhou; Shilong Wang; Junyuan Mao; Linsey Pan; Tianlong Chen; Kun Wang; Xinfeng Li; Yongfeng Zhang; Bo An; Qingsong Wen,2025,KDD,KDD,conference,10.1145/3711896.3736561,https://doi.org/10.1145/3711896.3736561,https://arxiv.org/pdf/2503.09648,peer_reviewed,security_relevant,survey,other agents form an extrinsic trust surface in the intrinsic-extrinsic framework,"The survey covers MAS, but it is not interaction-primary and includes broad trustworthiness dimensions.",assistant_source_reviewed_pending_author_signoff,Published KDD paper taxonomy/framework sections and taxonomy figure; pp. 6216-6226,ACM KDD proceedings; Crossref; arXiv full text,2026-07-01,first version available before cutoff,papers/surveys/kdd/2025_yu_trustworthy_agents.md
men2025troublemaker,A Troublemaker with Contagious Jailbreak Makes Chaos in Honest Towns,Tianyi Men; Pengfei Cao; Zhuoran Jin; Yubo Chen; Kang Liu; Jun Zhao,2025,ACL,ACL,conference,10.18653/v1/2025.acl-long.859,https://aclanthology.org/2025.acl-long.859/,https://aclanthology.org/2025.acl-long.859.pdf,peer_reviewed,core_security,attack; benchmark; evaluation,"One malicious member spreads jailbreak content through communication and independent memories; retrieval, replication, topology, and population size determine system-level propagation.","One malicious member spreads jailbreak content through communication and independent memories; retrieval, replication, topology, and population size determine system-level propagation.",source_reviewed_pending_author_signoff,"Abstract, PDF p. 1; metric definition in Sec. 2.2, approximately PDF p. 3; experiment tables for topology and large-scale settings; abstract and result tables for the reported improvements.",ACL Anthology; prior corpus,2026-07-01,first version available before cutoff,papers/attacks/acl/2025_men_troublemaker.md
rosser2025agentbreeder,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,J Rosser; Jakob Foerster,2025,NeurIPS,NeurIPS,conference,,https://proceedings.neurips.cc/paper_files/paper/2025/hash/dc2ccde7ee43e5719e08c68e848bd65a-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2025/file/dc2ccde7ee43e5719e08c68e848bd65a-Paper-Conference.pdf,peer_reviewed,security_relevant,defense,safety behavior emerges from composed roles prompts and communication scaffolds,"The work evaluates safety properties of composed agent scaffolds and searches for unsafe configurations, but its primary evidence is benchmark safety under architecture search rather than a technical runtime security threat model.",assistant_source_reviewed_pending_author_signoff,NeurIPS official program abstract for publication identity and 79.4% result; conference paper Secs. 4–5 and result figures/tables for blue/red modes and reward hacking. Exact PDF locators remain for author signoff.,NeurIPS proceedings; arXiv reconciliation,2026-07-01,first version available before cutoff,papers/defenses/neurips/2025_rosser_agentbreeder.md
khan2025agents_under_siege,Agents Under Siege: Breaking Pragmatic Multi-Agent LLM Systems with Optimized Prompt Attacks,Rana Shahroz; Zhen Tan; Sukwon Yun; Charles Fleming; Tianlong Chen,2025,ACL,ACL,conference,10.18653/v1/2025.acl-long.476,https://aclanthology.org/2025.acl-long.476/,https://aclanthology.org/2025.acl-long.476.pdf,peer_reviewed,core_security,attack,attack prompts are distributed across bandwidth- and latency-constrained communication topology,"Attack success depends on graph routing, edge bandwidth, latency/permutation, and distributed safety placement.",assistant_source_reviewed_pending_author_signoff,PDF Sec. 3 pp. 3-4; Sec. 4 pp. 4-5; Table 1 pp. 5-6; Secs. 5.2-5.4 pp. 6-8; Appendix B pp. 12-13.,ACL Anthology; prior corpus,2026-07-01,first version available before cutoff,papers/attacks/acl/2025_khan_agents_under_siege.md
deng2025agentsunderthreat,AI Agents Under Threat: A Survey of Key Security Challenges and Future Pathways,Zehang Deng; Yongjian Guo; Changzhou Han; Wanlun Ma; Junwu Xiong; Sheng Wen; Yang Xiang,2025,ACM Computing Surveys,ACM Computing Surveys,journal,10.1145/3716628,https://doi.org/10.1145/3716628,https://dl.acm.org/doi/pdf/10.1145/3716628,peer_reviewed,security_relevant,survey,MAS appears within a broader component-centered agent threat landscape,"Primary boundary is general AI agents and four knowledge gaps, not LLM-MAS interaction as the sole object.",assistant_source_reviewed_pending_author_signoff,"ACM CSUR abstract and taxonomy sections, 36-page article",ACM Digital Library; Crossref DOI,2026-07-01,first version available before cutoff,papers/surveys/journals_acm_csur/2025_deng_agents_under_threat.md
